"MoveNumber","Side","Move","FEN","GameNumber"
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",414
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",415
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",416
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",417
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",418
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",419
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",420
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",421
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",422
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",423
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",424
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",425
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",426
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",427
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",428
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",429
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",430
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",431
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",432
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",433
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",434
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",435
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",436
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",437
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",438
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",439
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",440
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",441
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",442
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",443
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",444
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",445
